encoding,model,acc,prec,recall,f1,auc,mcc
BackwardDifferenceEncoder,RandomForestClassifier,0.8509571092230526,0.805443930929771,0.7676538390386696,0.7834278696667853,0.8952110169719649,0.5718504724992903
BackwardDifferenceEncoder,SVC,0.8472719828027434,0.8115028148929074,0.7423358688474264,0.7669552738768968,0.8936836088492706,0.5495027035256215
BackwardDifferenceEncoder,LogisticRegression,0.8496263691268298,0.8072477871342016,0.7582295387678215,0.7775772758984647,0.9045791602161974,0.5633487529376405
BackwardDifferenceEncoder,GaussianNB,0.5204217422458798,0.6423391422432893,0.6652100490436124,0.5183932616801783,0.8319286631076686,0.3066976144076738
BackwardDifferenceEncoder,MLPClassifier,0.8562800696079435,0.8145825170606484,0.7733338316159764,0.7903950239373436,0.908888675066452,0.5864675429981963
BackwardDifferenceEncoder,KNeighborsClassifier,0.820247722387143,0.7570438471378218,0.7281535707106026,0.7402668922867839,0.835447340402074,0.48433654230786416
BackwardDifferenceEncoder,DecisionTreeClassifier,0.8093970723717883,0.7398225636188038,0.7446194351994877,0.7421456967386244,0.7446194351994878,0.484418249286812
BaseNEncoder,RandomForestClassifier,0.8542327771522162,0.8108429482148924,0.7715504093076906,0.7879056290421418,0.9014619440926874,0.5810663639143582
BaseNEncoder,SVC,0.8475790766711024,0.8113461933031685,0.743697182755755,0.7679764063328129,0.8913985533766667,0.5509054008437779
BaseNEncoder,LogisticRegression,0.8392875422254069,0.7948795634961593,0.7356268080643895,0.757340048494873,0.886990126558064,0.5271869888759414
BaseNEncoder,GaussianNB,0.46299518886272906,0.6433341554366528,0.6394007836210486,0.46294651641180745,0.8522106280824081,0.2827075774543767
BaseNEncoder,MLPClassifier,0.8502405568635479,0.8155549561502629,0.7479134843874302,0.7723600595155755,0.906292851591383,0.5593937028424056
BaseNEncoder,KNeighborsClassifier,0.8239328488074521,0.7622448350552687,0.7353622600726117,0.7468350387099807,0.8473061236645882,0.4968804164825873
BaseNEncoder,DecisionTreeClassifier,0.8108301770907974,0.7415862244740847,0.7435353554444823,0.742548572210877,0.7436947486164065,0.4851176642745004
