encoding,model,acc,prec,recall,f1,auc,mcc
BackwardDifferenceEncoder,RandomForestClassifier,0.7757274662881476,0.7302568775492493,0.6235896467129711,0.638048320489058,0.800569575703624,0.3373862246716281
BackwardDifferenceEncoder,SVC,0.7352732434350603,0.36763662171753014,0.5,0.423721881390593,0.8482188143716294,0.0
BackwardDifferenceEncoder,LogisticRegression,0.8176011355571328,0.7689992603971099,0.7447131160267889,0.7550538206105915,0.8538861055617087,0.5131379823037011
BackwardDifferenceEncoder,GaussianNB,0.7217885024840313,0.5821929968316399,0.5311493991118656,0.5126597914857873,0.547808388626083,0.10119807236324328
BackwardDifferenceEncoder,MLPClassifier,0.694819020581973,0.6744527772696787,0.7221267610007556,0.6685017880670054,0.8136975063918763,0.39370359593226967
BackwardDifferenceEncoder,KNeighborsClassifier,0.7444996451383961,0.6732029886145594,0.676129835312141,0.6746108724770219,0.7612724750794455,0.3493205625797196
BackwardDifferenceEncoder,DecisionTreeClassifier,0.716820440028389,0.6360948662913076,0.6358610142122206,0.6359774279081964,0.6353434533729441,0.27195577996000464
BaseNEncoder,RandomForestClassifier,0.7970191625266146,0.7409920961000727,0.7109862639353256,0.7228209431574314,0.8388833107331767,0.4509812501383945
BaseNEncoder,SVC,0.8069552874378992,0.764530873007782,0.7014437359611623,0.7213390338248553,0.8262431811359425,0.46168425286446735
BaseNEncoder,LogisticRegression,0.8126330731014905,0.7601557009244743,0.7490554514683201,0.7541974159988158,0.8571208608071879,0.5090901513319707
BaseNEncoder,GaussianNB,0.7246273953158269,0.7039575894128078,0.7595541730930471,0.7006199071234558,0.8305259970809569,0.46016537664666834
BaseNEncoder,MLPClassifier,0.8133427963094393,0.7653474041438437,0.7306652209467224,0.7443408117660614,0.8529777862887782,0.49479861602263575
BaseNEncoder,KNeighborsClassifier,0.7643718949609652,0.6968351054093208,0.6947904913722609,0.6957911713445881,0.7725190721169274,0.3916202594452557
BaseNEncoder,DecisionTreeClassifier,0.6997870830376153,0.6297436438690308,0.6431508586334324,0.6343661142347085,0.6453039117248233,0.27256495755751164
BinaryEncoder,RandomForestClassifier,0.801277501774308,0.750896148792591,0.7035877317378658,0.720039738858927,0.8401099299222624,0.4520149459230288
BinaryEncoder,SVC,0.8076650106458482,0.7604691256484879,0.7130785036281015,0.7299095664352482,0.8433019863985011,0.4711703366490711
BinaryEncoder,LogisticRegression,0.8218594748048261,0.7755237029384756,0.7484667260136428,0.7598444953739072,0.8602805697309719,0.5232914003049489
BinaryEncoder,GaussianNB,0.7643718949609652,0.7221098677690871,0.770281915389154,0.7315007415774708,0.8431622449718966,0.4900297153743254
BinaryEncoder,MLPClassifier,0.7906316536550745,0.7401308943731206,0.673186208038755,0.6917596666461497,0.8298091753185588,0.40785957892115554
BinaryEncoder,KNeighborsClassifier,0.7622427253371186,0.6955117584383937,0.6984897574709907,0.6969532571674376,0.7790144606498494,0.3939902613779366
BinaryEncoder,DecisionTreeClassifier,0.7366926898509581,0.6589953677671567,0.6536638131812395,0.6561282814867149,0.6542732410694877,0.312613720039635
CatBoostEncoder,RandomForestClassifier,0.8097941802696949,0.7632712814365243,0.7170999513492811,0.7337520588434376,0.8554426697858334,0.47814718399895384
CatBoostEncoder,SVC,0.8161816891412349,0.771506052170074,0.72916429451282,0.7451145280758794,0.8242686865341021,0.4988767098252469
CatBoostEncoder,LogisticRegression,0.8225691980127751,0.7784750261591302,0.7438022089496621,0.7577106146481043,0.8613131036053289,0.5211250387955308
CatBoostEncoder,GaussianNB,0.7317246273953159,0.7083644358513116,0.7643804279193019,0.7070396039603961,0.8384602047470681,0.4694144382676515
CatBoostEncoder,MLPClassifier,0.8119233498935415,0.759474287585981,0.7459992547123915,0.7521370244759584,0.8561064415622056,0.5052939000747191
CatBoostEncoder,KNeighborsClassifier,0.7735982966643009,0.7073077751810783,0.6942017659175836,0.6999680256755827,0.7907592099951349,0.4012955819772295
CatBoostEncoder,DecisionTreeClassifier,0.7459190915542938,0.6679037751915982,0.6530750877265623,0.6591190463318376,0.6530750877265623,0.3206361496592352
CountEncoder,RandomForestClassifier,0.7849538679914834,0.7245086071987481,0.6856244889086712,0.6992999604867525,0.830074425248688,0.40828566208900957
CountEncoder,SVC,0.8041163946061036,0.7611826616812076,0.695223948575155,0.7152935181768665,0.7831329510283933,0.4516153695913113
CountEncoder,LogisticRegression,0.8218594748048261,0.7842213575999228,0.7287360129183186,0.748220358711895,0.8630805738714586,0.5099476840760745
CountEncoder,GaussianNB,0.7061745919091554,0.6998155018752269,0.7564423385468961,0.6867341897233201,0.8369463392921838,0.4527301826863541
CountEncoder,MLPClassifier,0.7977288857345636,0.7644618438645853,0.666860320680696,0.688642927755917,0.8596543211154472,0.42013420748638336
CountEncoder,KNeighborsClassifier,0.7707594038325053,0.7023873528292427,0.6733984079828583,0.6840932170977144,0.7876926620224207,0.37466595669452396
CountEncoder,DecisionTreeClassifier,0.7210787792760823,0.6441825070021627,0.6473353380189841,0.6456720423399056,0.6479227695715631,0.2915007952345118
GLMMEncoder,RandomForestClassifier,0.7388218594748048,0.6430978490557644,0.5332959826927656,0.504442235644927,0.7344757626258966,0.13805192509389655
GLMMEncoder,SVC,0.7409510290986515,0.6538514883175077,0.5373174304139452,0.5111940121183319,0.760437908226112,0.15154329030835367
GLMMEncoder,LogisticRegression,0.7402413058907026,0.6498347333628076,0.5368348049313196,0.5107527493795396,0.7542789342387197,0.14858173744246383
GLMMEncoder,GaussianNB,0.7927608232789212,0.7338304872051418,0.7140955106772802,0.7224956158100634,0.8249117558769035,0.44749103932973683
GLMMEncoder,MLPClassifier,0.7444996451383961,0.6757440476190476,0.5397305578270726,0.5134108437895706,0.7918357365408305,0.16712162094345984
GLMMEncoder,KNeighborsClassifier,0.7508871540099361,0.6921366389099167,0.5577999006283189,0.5448467987082369,0.6142657881934022,0.2107650695542539
GLMMEncoder,DecisionTreeClassifier,0.46202980837473384,0.5299852744544556,0.5355163186932624,0.45704545269682206,0.5333994948606209,0.0652676509039321
GrayEncoder,RandomForestClassifier,0.8005677785663591,0.7502411653107817,0.7013893920730382,0.7181271744941932,0.8407452358524745,0.4489806951466264
GrayEncoder,SVC,0.8168914123491838,0.7756104017042773,0.723641920357738,0.7420366165200114,0.8289370853043776,0.4965401877299044
GrayEncoder,LogisticRegression,0.8197303051809794,0.7743102561525683,0.740155992836958,0.753833984482474,0.8615692962207707,0.5133312845002935
GrayEncoder,GaussianNB,0.7352732434350603,0.7074468085106382,0.7616464127858229,0.7086397919952545,0.8410609479644332,0.46595155666947197
GrayEncoder,MLPClassifier,0.8140525195173882,0.7702970015900659,0.7217114184272362,0.7391581452401544,0.858883155464925,0.4896036422215929
GrayEncoder,KNeighborsClassifier,0.7601135557132718,0.6902076596199589,0.6841740246565984,0.686995898838004,0.7647931826886251,0.37433306128484123
GrayEncoder,DecisionTreeClassifier,0.7239176721078779,0.6477506976838416,0.6509815541316881,0.6492784337664714,0.6504950469427682,0.2987147800852688
HashingEncoder,RandomForestClassifier,0.7920511000709723,0.7355336463223787,0.6947400291904313,0.709224054200061,0.8273649942550747,0.42833551877073545
HashingEncoder,SVC,0.801277501774308,0.7558419173048738,0.692435589553552,0.7118306336629034,0.8149383585040421,0.4437706172746208
HashingEncoder,LogisticRegression,0.8090844570617459,0.7638332422264382,0.7123280404111503,0.7301644481812739,0.8449439481611063,0.47336749071840567
HashingEncoder,GaussianNB,0.7572746628814763,0.7087456053327763,0.7482985187408779,0.7184884258934705,0.8085257797054044,0.4553294394075406
HashingEncoder,MLPClassifier,0.7934705464868701,0.7438876380778161,0.6794059954247622,0.6980752081895882,0.8380034573064064,0.41835346051464534
