encoding,model,acc,prec,recall,f1,auc,mcc
BackwardDifferenceEncoder,RandomForestClassifier,0.78,0.7790622992935132,0.6566895059502345,0.674122352244112,0.7851905277076572,0.4182158954685344
BackwardDifferenceEncoder,SVC,0.785,0.7774509803921569,0.6700925592018272,0.6892951334947073,0.8027407140281284,0.4344759938498693
BackwardDifferenceEncoder,LogisticRegression,0.81,0.7776726584673604,0.7469647794206034,0.7590055809233891,0.8190888327924029,0.5237379758983464
BackwardDifferenceEncoder,GaussianNB,0.715,0.6602384291725105,0.6648034619545619,0.6623122722829468,0.7238850823416276,0.3250098328715031
BackwardDifferenceEncoder,MLPClassifier,0.715,0.6401515151515151,0.5711623993268422,0.5667211432480712,0.6708739031133549,0.1997350053192889
BackwardDifferenceEncoder,KNeighborsClassifier,0.775,0.7522321428571428,0.6630003606202669,0.6799317187666702,0.7396922707056137,0.4055314056678568
BackwardDifferenceEncoder,DecisionTreeClassifier,0.685,0.6357142857142857,0.6484553431902873,0.6395777911267485,0.6484553431902872,0.28388385555743734
BaseNEncoder,RandomForestClassifier,0.76,0.7262836419163963,0.6425051087871139,0.6559139784946237,0.7936651039788437,0.35914662748265014
BaseNEncoder,SVC,0.77,0.7754851387865389,0.6348118764274552,0.647185151096794,0.7329005890131025,0.3854279101865418
BaseNEncoder,LogisticRegression,0.72,0.6502164502164502,0.60427936050006,0.6106243916006119,0.6877028489001084,0.250315603709881
BaseNEncoder,GaussianNB,0.69,0.6225705329153605,0.6175021036182233,0.6196785670469881,0.6917898785911769,0.2400191280640903
BaseNEncoder,MLPClassifier,0.715,0.6453804347826086,0.551448491405217,0.5323076923076924,0.6699122490683977,0.17296940827093965
BaseNEncoder,KNeighborsClassifier,0.7,0.607792763862128,0.5605241014545017,0.5556213894237891,0.6667868734222864,0.16154330906667208
BaseNEncoder,DecisionTreeClassifier,0.69,0.6322558220368439,0.6372160115398485,0.6343908479773559,0.6372160115398485,0.26942617840751654
BinaryEncoder,RandomForestClassifier,0.775,0.7475194897236004,0.6679288376006731,0.6847746138489019,0.788856833754057,0.40775316157104635
BinaryEncoder,SVC,0.8,0.7887445887445887,0.7004447649957928,0.7218745654290085,0.8099531193653082,0.4811542007910392
BinaryEncoder,LogisticRegression,0.795,0.7582236842105263,0.7264695275874504,0.7384453446461038,0.8151220098569539,0.48365192349477476
BinaryEncoder,GaussianNB,0.71,0.6746521602678104,0.700685178507032,0.6791680495630048,0.7498497415554755,0.3744334384639509
BinaryEncoder,MLPClassifier,0.74,0.6848484848484848,0.6283207116239933,0.638436935057711,0.7455222983531674,0.3080252529801705
BinaryEncoder,KNeighborsClassifier,0.73,0.668100358422939,0.6409424209640582,0.6491683991683992,0.7282726289217454,0.3078471794969377
BinaryEncoder,DecisionTreeClassifier,0.73,0.6821905510043766,0.6951556677485276,0.6871741397288842,0.6951556677485276,0.3771234208517486
CatBoostEncoder,RandomForestClassifier,0.745,0.6927506775067751,0.6367952878951797,0.6479723899913719,0.7952277918018993,0.3247607391390175
CatBoostEncoder,SVC,0.765,0.7266260162601625,0.6608366390191129,0.6755823986194995,0.7736506791681692,0.3818364402179309
CatBoostEncoder,LogisticRegression,0.75,0.7044093630919979,0.6354129102055536,0.6470920383963862,0.7705253035220581,0.3327441463319894
CatBoostEncoder,GaussianNB,0.75,0.7021645021645022,0.6403413871859598,0.6523432067862607,0.747445606443082,0.3368800776153153
CatBoostEncoder,MLPClassifier,0.775,0.8083333333333333,0.633429498737829,0.6450964154737963,0.7188363986056017,0.4056637134910177
CatBoostEncoder,KNeighborsClassifier,0.75,0.697214734950584,0.6846976800096165,0.6899801587301587,0.7285130424329846,0.3817072386480734
CatBoostEncoder,DecisionTreeClassifier,0.71,0.6533789361953061,0.6563288856833754,0.6547619047619048,0.6563288856833753,0.3096937725089978
CountEncoder,RandomForestClassifier,0.76,0.7169623611341402,0.6572905397283327,0.6710526315789473,0.7988339944704893,0.3694651641685444
CountEncoder,SVC,0.755,0.7120836286321758,0.64388748647674,0.6567545795243599,0.7696838562327203,0.3493776194706818
CountEncoder,LogisticRegression,0.725,0.6605477855477855,0.6324678446928718,0.6404171161452714,0.748888087510518,0.2916670644534863
CountEncoder,GaussianNB,0.72,0.6709684659409718,0.6831349921865608,0.67558799675588,0.7292943863445126,0.353894383534117
CountEncoder,MLPClassifier,0.75,0.7106271425690663,0.6255559562447409,0.6357808857808858,0.7335016227912008,0.32524140140121466
CountEncoder,KNeighborsClassifier,0.725,0.6598854731766124,0.6275393677124654,0.6357495281300706,0.7011059021517009,0.2855989646714672
CountEncoder,DecisionTreeClassifier,0.7,0.6438419650098482,0.6492366871018151,0.6461846915909895,0.649236687101815,0.2930289973656871
