encoding,model,acc,prec,recall,f1,auc,mcc
BackwardDifferenceEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
BackwardDifferenceEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
BackwardDifferenceEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
BackwardDifferenceEncoder,GaussianNB,0.9581538461538461,0.9626783754116356,0.9565217391304348,0.9578884627345289,0.9563139196572951,0.9191794962921312
BackwardDifferenceEncoder,MLPClassifier,1.0,1.0,1.0,1.0,1.0,1.0
BackwardDifferenceEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
BackwardDifferenceEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
BaseNEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
BaseNEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
BaseNEncoder,LogisticRegression,0.9716923076923077,0.9715093950719444,0.9719299602867606,0.9716665453729478,0.9962546986921026,0.943439261619183
BaseNEncoder,GaussianNB,0.5895384615384616,0.7708131061189416,0.5736219445228192,0.48788040722927883,0.9437476677194164,0.2824024608585489
BaseNEncoder,MLPClassifier,0.9956923076923077,0.9955913971972962,0.9958018949495318,0.9956871858043768,0.999939322781565,0.9913932697998419
BaseNEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
BaseNEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
BinaryEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
BinaryEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
BinaryEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
BinaryEncoder,GaussianNB,0.9544615384615385,0.9596510359869139,0.9526854219948849,0.9541450579621721,0.9881421545873496,0.9123098666486561
BinaryEncoder,MLPClassifier,0.9981538461538462,0.9980891719745223,0.998220640569395,0.9981514912630945,1.0,0.9963098038699129
BinaryEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
BinaryEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,GaussianNB,0.9901538461538462,0.9906868451688009,0.989769820971867,0.9901316888172298,0.9925412529238835,0.9804562372927694
CatBoostEncoder,MLPClassifier,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
CatBoostEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
CountEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
CountEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
CountEncoder,LogisticRegression,0.9876923076923076,0.9875121991137836,0.9879988046587969,0.9876820031412787,0.9958466443981273,0.9755108824079981
CountEncoder,GaussianNB,0.939076923076923,0.939653599065557,0.9385051560466365,0.9389213945398859,0.9590489452782506,0.8781580041534837
CountEncoder,MLPClassifier,0.9993846153846154,0.9993614303959131,0.9994068801897984,0.999383775277064,1.0,0.9987683095515959
CountEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
CountEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
GLMMEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
GLMMEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
GLMMEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
GLMMEncoder,GaussianNB,0.9372307692307692,0.9431274131274132,0.9352452724862187,0.936740890688259,0.98713642969179,0.8783373194229063
GLMMEncoder,MLPClassifier,1.0,1.0,1.0,1.0,1.0,1.0
GLMMEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
GLMMEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
GrayEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
GrayEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
GrayEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
GrayEncoder,GaussianNB,0.9046153846153846,0.9223446893787575,0.9008951406649617,0.9028997648005817,0.9730304933361246,0.8229603481519545
GrayEncoder,MLPClassifier,0.9993846153846154,0.9994075829383886,0.9993606138107417,0.999383718253431,1.0,0.9987681956447205
GrayEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
GrayEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
HashingEncoder,RandomForestClassifier,0.9612307692307692,0.9612409981882574,0.9611066614484258,0.9611705389927439,0.991863185007873,0.9223476498538429
HashingEncoder,SVC,0.9483076923076923,0.948131584931403,0.9484198135389077,0.9482526453702609,0.9907945074981872,0.896551352139597
HashingEncoder,LogisticRegression,0.7956923076923077,0.7966479814799524,0.7942936109922849,0.7947689086499103,0.8771278742039909,0.5909369024297184
HashingEncoder,GaussianNB,0.8123076923076923,0.8162063897269282,0.8100302475933898,0.8107377609145838,0.8912580814470303,0.626206181054296
HashingEncoder,MLPClassifier,0.936,0.9359467455621302,0.9358634216490247,0.9359036597872457,0.9845584063735351,0.8718101632292821
HashingEncoder,KNeighborsClassifier,0.9452307692307692,0.9455028681501647,0.944852751560163,0.9451169554359165,0.9828700627705825,0.8903553823604263
HashingEncoder,DecisionTreeClassifier,0.9569230769230769,0.9574326091054478,0.9564458926073911,0.9568210253326774,0.9761841917642812,0.9138779690327674
HelmertEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
HelmertEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
HelmertEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
HelmertEncoder,GaussianNB,0.9981538461538462,0.99822695035461,0.998081841432225,0.9981509780472735,1.0,0.9963087812195291
HelmertEncoder,MLPClassifier,0.9993846153846154,0.9993614303959131,0.9994068801897984,0.999383775277064,1.0,0.9987683095515959
HelmertEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
HelmertEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
JamesSteinEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
JamesSteinEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
JamesSteinEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
JamesSteinEncoder,GaussianNB,0.9901538461538462,0.9906868451688009,0.989769820971867,0.9901316888172298,0.9943646033378538,0.9804562372927694
JamesSteinEncoder,MLPClassifier,0.9993846153846154,0.9993614303959131,0.9994068801897984,0.999383775277064,1.0,0.9987683095515959
JamesSteinEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
JamesSteinEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
LeaveOneOutEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
LeaveOneOutEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
LeaveOneOutEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
LeaveOneOutEncoder,GaussianNB,0.9901538461538462,0.9906868451688009,0.989769820971867,0.9901316888172298,0.9936668153258519,0.9804562372927694
LeaveOneOutEncoder,MLPClassifier,0.9987692307692307,0.9987244897959184,0.9988137603795967,0.9987676061678846,0.9999984830695391,0.9975382461810631
LeaveOneOutEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
LeaveOneOutEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
MEstimateEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
MEstimateEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
MEstimateEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
MEstimateEncoder,GaussianNB,0.9901538461538462,0.9906868451688009,0.989769820971867,0.9901316888172298,0.9932056684657463,0.9804562372927694
MEstimateEncoder,MLPClassifier,0.9993846153846154,0.9993614303959131,0.9994068801897984,0.999383775277064,1.0,0.9987683095515959
MEstimateEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
MEstimateEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
OneHotEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
OneHotEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
OneHotEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
OneHotEncoder,GaussianNB,0.944,0.9478808705612829,0.9460260972716489,0.9439809071020655,0.9928825622775801,0.893905043590375
OneHotEncoder,MLPClassifier,0.9993846153846154,0.9993614303959131,0.9994068801897984,0.999383775277064,1.0,0.9987683095515959
OneHotEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
OneHotEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
OrdinalEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
OrdinalEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
OrdinalEncoder,LogisticRegression,0.9513846153846154,0.9512093499630316,0.9517555436223692,0.9513521174476413,0.9864568448453187,0.902964728392079
OrdinalEncoder,GaussianNB,0.8996923076923077,0.9034441819837111,0.8979545709665577,0.8990462033940294,0.9371459863536937,0.8013799507107264
OrdinalEncoder,MLPClassifier,0.9987692307692307,0.99876749400054,0.99876749400054,0.99876749400054,0.9999575259470955,0.9975349880010801
OrdinalEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
OrdinalEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
PolynomialEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
PolynomialEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
PolynomialEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
PolynomialEncoder,GaussianNB,0.9563076923076923,0.9567715458276334,0.9558527727971895,0.9562067927582072,0.9831969612849009,0.9126238561431215
PolynomialEncoder,MLPClassifier,1.0,1.0,1.0,1.0,1.0,1.0
PolynomialEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
PolynomialEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
RankHotEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
RankHotEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
RankHotEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
RankHotEncoder,GaussianNB,0.9156923076923077,0.9301020408163265,0.9124040920716112,0.9144217717931853,0.9832819093907097,0.8423202280392041
RankHotEncoder,MLPClassifier,0.9975384615384615,0.9976387249114522,0.9974424552429668,0.997534516765286,0.9999074672418867,0.9950811607983182
RankHotEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
RankHotEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
SumEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
SumEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
SumEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
SumEncoder,GaussianNB,0.9913846153846154,0.991473763441513,0.9912799252456669,0.991370808678501,0.9962531817616417,0.9827536695708707
SumEncoder,MLPClassifier,0.9993846153846154,0.9994075829383886,0.9993606138107417,0.999383718253431,0.9999984830695391,0.9987681956447205
SumEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
SumEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
TargetEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
TargetEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
TargetEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
TargetEncoder,GaussianNB,0.9901538461538462,0.9906868451688009,0.989769820971867,0.9901316888172298,0.9905131168976952,0.9804562372927694
TargetEncoder,MLPClassifier,1.0,1.0,1.0,1.0,1.0,1.0
TargetEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
TargetEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
MinHashEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
MinHashEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
MinHashEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
MinHashEncoder,GaussianNB,0.9612307692307692,0.9612409981882574,0.9611066614484258,0.9611705389927439,0.9688187359115084,0.9223476498538429
MinHashEncoder,MLPClassifier,1.0,1.0,1.0,1.0,1.0,1.0
MinHashEncoder,KNeighborsClassifier,1.0,1.0,1.0,1.0,1.0,1.0
MinHashEncoder,DecisionTreeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
SimilarityEncoder,RandomForestClassifier,1.0,1.0,1.0,1.0,1.0,1.0
SimilarityEncoder,SVC,1.0,1.0,1.0,1.0,1.0,1.0
SimilarityEncoder,LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
