encoding,model,acc,prec,recall,f1,auc,mcc
BackwardDifferenceEncoder,RandomForestClassifier,0.5050847457627119,0.4760204081632653,0.4691040595342615,0.46895664137043447,0.6732734383139946,0.22707802019959805
BackwardDifferenceEncoder,SVC,0.13559322033898305,0.1326121794871795,0.12653991945036722,0.1163036902601331,0.7017951937610166,-0.02217435117990029
BackwardDifferenceEncoder,LogisticRegression,0.13559322033898305,0.1277300393841747,0.12479270315091211,0.11703924490809736,0.7129461966214597,-0.03515763012020658
BackwardDifferenceEncoder,GaussianNB,0.4033898305084746,0.4269170865781035,0.44067013206609346,0.4047772764102022,0.6339746800789764,0.13381961303523077
BackwardDifferenceEncoder,MLPClassifier,0.5457627118644067,0.5138095238095238,0.5065940140567006,0.506966971497864,0.7257978661874523,0.2868407326571236
BackwardDifferenceEncoder,KNeighborsClassifier,0.4610169491525424,0.4425207764326126,0.44292775153179015,0.44266900790166813,0.6138897305971956,0.1651804120371735
BackwardDifferenceEncoder,DecisionTreeClassifier,0.49491525423728816,0.4597626779708636,0.4599226091763405,0.4592002591706539,0.6057812801941268,0.21315118380697284
BaseNEncoder,RandomForestClassifier,0.4847457627118644,0.4483306836248013,0.4448369729317929,0.44342081548553036,0.6660927962870492,0.19087502842531773
BaseNEncoder,SVC,0.13220338983050847,0.13169404736505227,0.12455579246624023,0.11220750403442711,0.698108642199327,-0.022301962960364567
BaseNEncoder,LogisticRegression,0.13559322033898305,0.1277300393841747,0.12479270315091211,0.11703924490809736,0.7125666886963927,-0.03515763012020658
BaseNEncoder,GaussianNB,0.43728813559322033,0.46624422831319384,0.48124457079680955,0.4344514325646401,0.634811659337223,0.2038610763033101
BaseNEncoder,MLPClassifier,0.5322033898305085,0.5123557402080893,0.5033028136627785,0.5046082779009607,0.6938993915983565,0.2660739090858709
BaseNEncoder,KNeighborsClassifier,0.4847457627118644,0.46467940938511326,0.46331368368242826,0.46391425517909685,0.6188140194449955,0.20078162105134337
BaseNEncoder,DecisionTreeClassifier,0.5152542372881356,0.4716061070918072,0.47284353210604313,0.47116981132075475,0.6140051880218205,0.24227441347120304
BinaryEncoder,RandomForestClassifier,0.4847457627118644,0.4483306836248013,0.4448369729317929,0.44342081548553036,0.6660927962870492,0.19087502842531773
BinaryEncoder,SVC,0.13220338983050847,0.13169404736505227,0.12455579246624023,0.11220750403442711,0.698108642199327,-0.022301962960364567
BinaryEncoder,LogisticRegression,0.13559322033898305,0.1277300393841747,0.12479270315091211,0.11703924490809736,0.7125666886963927,-0.03515763012020658
BinaryEncoder,GaussianNB,0.43728813559322033,0.46624422831319384,0.48124457079680955,0.4344514325646401,0.634811659337223,0.2038610763033101
BinaryEncoder,MLPClassifier,0.5322033898305085,0.5123557402080893,0.5033028136627785,0.5046082779009607,0.6938993915983565,0.2660739090858709
BinaryEncoder,KNeighborsClassifier,0.4847457627118644,0.46467940938511326,0.46331368368242826,0.46391425517909685,0.6188140194449955,0.20078162105134337
BinaryEncoder,DecisionTreeClassifier,0.5152542372881356,0.4716061070918072,0.47284353210604313,0.47116981132075475,0.6140051880218205,0.24227441347120304
CatBoostEncoder,RandomForestClassifier,0.5152542372881356,0.49486739140100483,0.48218060026664067,0.47853127351600194,0.7097831367262994,0.2555398930801226
CatBoostEncoder,SVC,0.17627118644067796,0.1456253669994128,0.16607438995498697,0.13585291113381,0.7021979585086235,0.00019844872624523913
CatBoostEncoder,LogisticRegression,0.08813559322033898,0.075,0.09352049277422411,0.07626094835397161,0.6978280216437622,-0.05511757334765894
CatBoostEncoder,GaussianNB,0.42033898305084744,0.41986552506169267,0.39599620942904523,0.3784253452594804,0.670128352784061,0.11340972206806692
CatBoostEncoder,MLPClassifier,0.5186440677966102,0.4910289232196379,0.47454603732040085,0.4727908443664164,0.7134155909191607,0.23667365453382994
CatBoostEncoder,KNeighborsClassifier,0.49830508474576274,0.46874472416703905,0.46706709217683756,0.46715637256369574,0.6524258884801962,0.2171938616258831
CatBoostEncoder,DecisionTreeClassifier,0.4576271186440678,0.42405398490677954,0.4272289346916212,0.4240499629512014,0.5739397434951727,0.1559366772012795
CountEncoder,RandomForestClassifier,0.488135593220339,0.4556936835697898,0.4540091326746287,0.4536579363578796,0.6915995711633066,0.20316531902221122
CountEncoder,SVC,0.13559322033898305,0.1321762349799733,0.12479270315091211,0.11471264367816092,0.7123697685962913,-0.028033189870169915
CountEncoder,LogisticRegression,0.13898305084745763,0.13517786561264822,0.1302712627339493,0.12396191667535356,0.7040727609526498,-0.018187335044773184
CountEncoder,GaussianNB,0.4406779661016949,0.4596956963455909,0.4606124373464145,0.4408068783068783,0.6488206336861272,0.17815981541322692
CountEncoder,MLPClassifier,0.49830508474576274,0.47515725203351983,0.46891592457878667,0.4679541166408785,0.7097600987421325,0.21107728072212334
CountEncoder,KNeighborsClassifier,0.5152542372881356,0.49089761295104406,0.49053750853575256,0.4882791275859284,0.6616825110705761,0.24705406791728304
CountEncoder,DecisionTreeClassifier,0.5423728813559322,0.5003922111480251,0.5006944734776165,0.49896586939917437,0.6385211397332725,0.2861151557132653
GLMMEncoder,RandomForestClassifier,0.511864406779661,0.48318839114167256,0.47905430829048035,0.47936912818970273,0.6929628963632162,0.2406059565513076
GLMMEncoder,SVC,0.13559322033898305,0.12000409920065588,0.13352878464818763,0.11027944111776447,0.7116266022103556,-0.02453185363304241
GLMMEncoder,LogisticRegression,0.13220338983050847,0.1299217131015427,0.12805022506515043,0.11589532262609185,0.6971653465635489,-0.01255155175665272
GLMMEncoder,GaussianNB,0.39661016949152544,0.4180470323327466,0.410536022037339,0.39280711532020435,0.630683818025844,0.11238366747962389
GLMMEncoder,MLPClassifier,0.5322033898305085,0.5084710416936331,0.49057002568855074,0.4912121212121212,0.7050366704699941,0.2598349343667131
GLMMEncoder,KNeighborsClassifier,0.4440677966101695,0.4185388685388685,0.4185143377417302,0.41749022176653755,0.6360565621603018,0.13417153174896862
GLMMEncoder,DecisionTreeClassifier,0.5322033898305085,0.4961674719805725,0.49554979537420274,0.4950969355847405,0.6320233179934976,0.27013104572231555
GrayEncoder,RandomForestClassifier,0.488135593220339,0.4525216983345062,0.44934988920941515,0.44798422176526415,0.6839297174118756,0.1988125192781454
GrayEncoder,SVC,0.1288135593220339,0.12361111111111112,0.12257166548211323,0.10930659983291562,0.7013525888597832,-0.03100986855525985
GrayEncoder,LogisticRegression,0.13559322033898305,0.1277300393841747,0.12479270315091211,0.11703924490809736,0.7132406316417739,-0.03515763012020658
