encoding,model,acc,prec,recall,f1,auc,mcc
BackwardDifferenceEncoder,RandomForestClassifier,0.9550827423167849,0.9551564058760703,0.9513815804408525,0.9528178630733386,0.9963694868274605,0.9475728550503161
BackwardDifferenceEncoder,SVC,0.8605200945626478,0.8599307483561429,0.8571948685352467,0.8571447687935282,0.967174962511338,0.8374115570475585
BackwardDifferenceEncoder,LogisticRegression,0.8652482269503546,0.8609995019192374,0.8644725344574383,0.8580197794402704,0.9857053837392085,0.8439309045664304
BackwardDifferenceEncoder,GaussianNB,0.48699763593380613,0.6215273591655723,0.45872314083501115,0.4060730425061026,0.8895266317167935,0.42906565744398345
BackwardDifferenceEncoder,MLPClassifier,0.8747044917257684,0.8709487075759901,0.8723573608445688,0.8708175161344099,0.9837491792035694,0.8537451532919099
BackwardDifferenceEncoder,KNeighborsClassifier,0.8250591016548463,0.8159816573088264,0.8196360832345259,0.8167848756609023,0.9429815931215803,0.7955561833375523
BackwardDifferenceEncoder,DecisionTreeClassifier,0.950354609929078,0.9495463989290315,0.9502137644653138,0.9495953931651872,0.970973644851453,0.9420039656308627
BaseNEncoder,RandomForestClassifier,0.950354609929078,0.9503516490540476,0.94874421780349,0.9492182262094924,0.9969365301276049,0.9420127028775064
BaseNEncoder,SVC,0.8865248226950354,0.8877590554005605,0.8835010585050311,0.8831284912728281,0.9743075913141654,0.8681373351260739
BaseNEncoder,LogisticRegression,0.8841607565011821,0.880605268967338,0.8845054508498018,0.878866242741841,0.9864300198145213,0.8657484637233526
BaseNEncoder,GaussianNB,0.5130023640661938,0.6535348327801158,0.4858983235631893,0.4411882179546778,0.890044944912973,0.4616836496353987
BaseNEncoder,MLPClassifier,0.8439716312056738,0.8359106679959712,0.844519799020832,0.8365712823791142,0.9798097937954422,0.818906505146234
BaseNEncoder,KNeighborsClassifier,0.8297872340425532,0.8205579023100059,0.8242250707076704,0.8211668093054814,0.9460743447308907,0.8011384422457895
BaseNEncoder,DecisionTreeClassifier,0.9432624113475178,0.9419589510603811,0.9422545807918443,0.9419875239649935,0.9664128748559205,0.9336489856332676
BinaryEncoder,RandomForestClassifier,0.9408983451536643,0.9388020525534398,0.9395065276902238,0.9388213851258247,0.9963759081990302,0.9309769928939582
BinaryEncoder,SVC,0.8534278959810875,0.8489231026091686,0.8508143212791234,0.8486848945484067,0.9647532449316232,0.8290236121334192
BinaryEncoder,LogisticRegression,0.8770685579196218,0.873580049891894,0.8767931401190578,0.870977834853433,0.9867196438166269,0.857595081610285
BinaryEncoder,GaussianNB,0.5886524822695035,0.679996239433626,0.5673894827033236,0.5521877889455893,0.8862174674532867,0.5385241215491677
BinaryEncoder,MLPClassifier,0.8581560283687943,0.8522712963178882,0.8558800056344947,0.8531120766248135,0.984784343935811,0.8345045956815526
BinaryEncoder,KNeighborsClassifier,0.8156028368794326,0.8068449701970154,0.8113319933946027,0.8085333423325444,0.940366305405622,0.7844013388832256
BinaryEncoder,DecisionTreeClassifier,0.9361702127659575,0.9347720997408776,0.936287429663403,0.9352419573650517,0.9628393690023962,0.9254302684021407
CatBoostEncoder,RandomForestClassifier,0.9479905437352246,0.9483513652024591,0.9476932768486878,0.9476896449084976,0.9966065580499072,0.9392444896465992
CatBoostEncoder,SVC,0.8794326241134752,0.8766375596632301,0.8780487535135556,0.8767085050203913,0.971057540749509,0.8593047675723435
CatBoostEncoder,LogisticRegression,0.9030732860520094,0.8994488347335162,0.9028910720615789,0.8985854335382821,0.9896474166439839,0.8875561706545262
CatBoostEncoder,GaussianNB,0.6524822695035462,0.6279668457242112,0.645778025936138,0.6177302847105902,0.9190888527990142,0.5980087659576593
CatBoostEncoder,MLPClassifier,0.8841607565011821,0.879150733612769,0.8835659832513479,0.8802853493363977,0.9854237343382433,0.8649322937966708
CatBoostEncoder,KNeighborsClassifier,0.8226950354609929,0.8143395570478903,0.8191533705978327,0.8157732695417145,0.9445353912308445,0.7928571423292613
CatBoostEncoder,DecisionTreeClassifier,0.9361702127659575,0.9364787569924797,0.9370949144610357,0.9363518580153658,0.9632108244387673,0.925456009027213
CountEncoder,RandomForestClassifier,0.9598108747044918,0.9599419864788254,0.9588486422206428,0.9590807564001496,0.9975955942363017,0.9530777922894135
CountEncoder,SVC,0.900709219858156,0.8985947251978608,0.8987802570330776,0.8980643780285987,0.9759018756676836,0.8841023420168815
CountEncoder,LogisticRegression,0.9030732860520094,0.8988702165817201,0.9032658532737986,0.8992610501257586,0.989718030572113,0.8872596634035943
CountEncoder,GaussianNB,0.6264775413711584,0.642756693320603,0.6198910557634536,0.6036751251363869,0.9239485120212487,0.5686869674336686
CountEncoder,MLPClassifier,0.8936170212765957,0.8886107204230694,0.8919961885669814,0.8896579904579112,0.9894351323160562,0.875811560434228
CountEncoder,KNeighborsClassifier,0.8392434988179669,0.8332773249953832,0.8336005672911758,0.8309337821099806,0.9493232059499263,0.8125083090458697
CountEncoder,DecisionTreeClassifier,0.9456264775413712,0.9453022115590911,0.9455251197766691,0.9451788024286464,0.968224420090907,0.936447828043855
GLMMEncoder,RandomForestClassifier,0.950354609929078,0.9492466290771375,0.9503228542208361,0.9495406273544301,0.9978356647232947,0.9420099775221952
GLMMEncoder,SVC,0.8912529550827423,0.8888267240576585,0.8882108034451909,0.8876754863555523,0.9718345095888349,0.8731467767267793
GLMMEncoder,LogisticRegression,0.8959810874704491,0.89483967759534,0.8970729294541467,0.8915721254003157,0.9891543711432116,0.8798148629086593
GLMMEncoder,GaussianNB,0.6382978723404256,0.6511151199879902,0.6312856776149324,0.6123706431734772,0.9225485407591105,0.5829946216415328
GLMMEncoder,MLPClassifier,0.7777777777777778,0.7676197484291841,0.7769132427506812,0.7668469641175009,0.9637676350853264,0.7420099609604743
GLMMEncoder,KNeighborsClassifier,0.8203309692671394,0.8101181067480088,0.8147692243663958,0.811643167361955,0.9465630582335097,0.7899869474657785
