encoding,model,mae,mse,rmse,r2
BackwardDifferenceEncoder,RandomForestRegressor,1.5860047846889953,5.05598062200957,2.248550782617455,0.5329438781574094
BackwardDifferenceEncoder,SVR,1.5134359243696407,4.967766089410802,2.228848601724846,0.5410928685444336
BackwardDifferenceEncoder,LinearRegression,1.5931067803770713,4.8912324418765625,2.211613085934464,0.5481628142740916
BackwardDifferenceEncoder,MLPRegressor,1.5559591203585412,4.6814247762444525,2.16366004174511,0.567544208699617
BackwardDifferenceEncoder,KNeighborsRegressor,1.6078947368421053,5.236794258373206,2.288404303957936,0.5162408640262575
BackwardDifferenceEncoder,DecisionTreeRegressor,2.111244019138756,9.496411483253588,3.0816248122141,0.12275037220633767
BaseNEncoder,RandomForestRegressor,1.5897488038277512,5.060536722488039,2.249563673801664,0.5325229994438052
BaseNEncoder,SVR,1.516677916984726,4.982321817401985,2.2321115154494375,0.5397482546357959
BaseNEncoder,LinearRegression,1.5931067803770713,4.891232441876563,2.2116130859344643,0.5481628142740915
BaseNEncoder,MLPRegressor,1.557201716171152,4.739802965702868,2.1771088548124706,0.5621514090021762
BaseNEncoder,KNeighborsRegressor,1.6078947368421053,5.236794258373206,2.288404303957936,0.5162408640262575
BaseNEncoder,DecisionTreeRegressor,2.0801435406698565,9.139952153110048,3.02323537838357,0.1556790016410916
BinaryEncoder,RandomForestRegressor,1.5897488038277512,5.060536722488039,2.249563673801664,0.5325229994438052
BinaryEncoder,SVR,1.516677916984726,4.982321817401985,2.2321115154494375,0.5397482546357959
BinaryEncoder,LinearRegression,1.5931067803770713,4.891232441876563,2.2116130859344643,0.5481628142740915
BinaryEncoder,MLPRegressor,1.557201716171152,4.739802965702868,2.1771088548124706,0.5621514090021762
BinaryEncoder,KNeighborsRegressor,1.6078947368421053,5.236794258373206,2.288404303957936,0.5162408640262575
BinaryEncoder,DecisionTreeRegressor,2.0801435406698565,9.139952153110048,3.02323537838357,0.1556790016410916
CatBoostEncoder,RandomForestRegressor,1.5745574162679425,5.031891267942583,2.243187746922353,0.5351691794647843
CatBoostEncoder,SVR,1.507661731838585,4.851075838189395,2.202515797489179,0.551872359263812
CatBoostEncoder,LinearRegression,1.5943657124103057,4.888091488416345,2.210902867250469,0.5484529660075914
CatBoostEncoder,MLPRegressor,1.5538671288219041,4.718923739289052,2.172308389545336,0.5640801684743662
CatBoostEncoder,KNeighborsRegressor,1.6497607655502393,5.575502392344498,2.361250175721433,0.48495203613785165
CatBoostEncoder,DecisionTreeRegressor,2.1973684210526314,10.120813397129186,3.1813225861470236,0.06507002131727202
CountEncoder,RandomForestRegressor,1.5961483253588518,5.11358062200957,2.261322759362221,0.5276229652367739
CountEncoder,SVR,1.5255023535683039,4.988108811017316,2.2334074440229923,0.5392136697555971
CountEncoder,LinearRegression,1.6274469041785506,5.045964657744658,2.246322474121794,0.5338691224919543
CountEncoder,MLPRegressor,1.5670840834600124,4.773199658628014,2.184765355508004,0.559066324021414
CountEncoder,KNeighborsRegressor,1.6083732057416267,5.22511961722488,2.28585205497313,0.5173193318896239
CountEncoder,DecisionTreeRegressor,2.1925837320574164,9.938995215311005,3.152617200884212,0.08186583230412636
GLMMEncoder,RandomForestRegressor,1.5819736842105263,5.025499162679426,2.241762512551101,0.5357596627197285
GLMMEncoder,SVR,1.5056850758381282,4.884682822584815,2.2101318563797987,0.5487678481962218
GLMMEncoder,LinearRegression,1.5916335742414005,4.88667021652834,2.210581420470266,0.5485842587845466
