encoding,model,mae,mse,rmse,r2
BackwardDifferenceEncoder,RandomForestRegressor,0.30780487804878054,0.24529268292682926,0.49527031298759394,0.8326554383116883
BackwardDifferenceEncoder,SVR,0.4674335823918307,0.3964702986572659,0.6296588748340374,0.7295184366709155
BackwardDifferenceEncoder,LinearRegression,71823733936.52916,2.115045990167137e+23,459896291588.3468,-1.4429351905320443e+23
BackwardDifferenceEncoder,MLPRegressor,0.6406539332987748,0.7701053979902233,0.8775564927628439,0.47461559495878036
BackwardDifferenceEncoder,KNeighborsRegressor,0.648780487804878,0.6234146341463416,0.7895661049882661,0.5746915584415584
BackwardDifferenceEncoder,DecisionTreeRegressor,0.3170731707317073,0.6097560975609756,0.7808688094430303,0.5840097402597403
BaseNEncoder,RandomForestRegressor,0.3224390243902439,0.26913170731707314,0.5187790544317236,0.8163918831168832
BaseNEncoder,SVR,0.4377525165003848,0.3873539124470961,0.6223776284918153,0.7357378543735518
BaseNEncoder,LinearRegression,0.5881038944485557,0.5410251137823765,0.7355440937036858,0.6308996687223316
BaseNEncoder,MLPRegressor,0.5288090083028464,0.5344211788245992,0.731041160827897,0.635405031816497
BaseNEncoder,KNeighborsRegressor,0.45853658536585357,0.3765853658536586,0.6136655162657085,0.7430844155844156
BaseNEncoder,DecisionTreeRegressor,0.2682926829268293,0.4634146341463415,0.6807456457050177,0.6838474025974026
BinaryEncoder,RandomForestRegressor,0.3151219512195122,0.251409756097561,0.501407774269168,0.828482224025974
BinaryEncoder,SVR,0.43192671459558746,0.3503353166098618,0.591891304725675,0.760992829861535
BinaryEncoder,LinearRegression,0.5087313824715334,0.43339270377258476,0.6583256821456875,0.7043290848044987
BinaryEncoder,MLPRegressor,0.4320717720449928,0.341396074666623,0.5842910872729644,0.7670913954892074
BinaryEncoder,KNeighborsRegressor,0.5365853658536586,0.4585365853658537,0.6771532953223027,0.6871753246753247
BinaryEncoder,DecisionTreeRegressor,0.21951219512195122,0.3170731707317073,0.563092506371473,0.783685064935065
CatBoostEncoder,RandomForestRegressor,0.3807317073170732,0.31708536585365854,0.5631033349693985,0.7836767451298701
CatBoostEncoder,SVR,0.512296800446408,0.5490475690103885,0.7409774416339464,0.6254265570184809
CatBoostEncoder,LinearRegression,0.6187299144211715,0.6817829104563383,0.8257014656983106,0.5348713179881881
CatBoostEncoder,MLPRegressor,0.6930317960811075,0.846175859960551,0.919878176695453,0.4227184981356793
CatBoostEncoder,KNeighborsRegressor,0.5365853658536586,0.5502439024390244,0.7417842694739654,0.6246103896103896
CatBoostEncoder,DecisionTreeRegressor,0.3170731707317073,0.6097560975609756,0.7808688094430303,0.5840097402597403
CountEncoder,RandomForestRegressor,0.3146341463414634,0.24121951219512197,0.4911410308609147,0.8354342532467532
CountEncoder,SVR,0.44516547031084497,0.3549305667180033,0.5957604944254052,0.7578578398324012
CountEncoder,LinearRegression,0.5497695994555275,0.4954716125999949,0.7038974446607935,0.6619773616961886
CountEncoder,MLPRegressor,0.6624274030606352,0.7338410059587778,0.8566452042466459,0.49935603448997345
CountEncoder,KNeighborsRegressor,0.6,0.6136585365853657,0.7833636043277513,0.5813474025974027
CountEncoder,DecisionTreeRegressor,0.3170731707317073,0.6097560975609756,0.7808688094430303,0.5840097402597403
GLMMEncoder,RandomForestRegressor,0.3321951219512195,0.29457073170731707,0.542743707201951,0.7990367694805195
GLMMEncoder,SVR,0.39982081811674003,0.34342144289936555,0.5860217085564028,0.7657096406193857
GLMMEncoder,LinearRegression,0.5088966052602488,0.4563784870854895,0.6755579080178764,0.6886476311726024
GLMMEncoder,MLPRegressor,0.7011899114714337,0.8416027854925467,0.9173891134587039,0.4258383594103202
GLMMEncoder,KNeighborsRegressor,0.5365853658536586,0.5990243902439024,0.7739666596462036,0.5913311688311689
GLMMEncoder,DecisionTreeRegressor,0.24390243902439024,0.4878048780487805,0.6984302957695782,0.6672077922077922
GrayEncoder,RandomForestRegressor,0.3226829268292683,0.23799756097560978,0.4878499369433287,0.8376323457792207
GrayEncoder,SVR,0.44755877291977314,0.35492025949860617,0.5957518438902276,0.7578648716651148
GrayEncoder,LinearRegression,0.6125601177453384,0.6168053686278018,0.7853695745493339,0.5792005581723478
GrayEncoder,MLPRegressor,0.4943617697706673,0.5342666935394771,0.7309354920507535,0.6355104253896668
GrayEncoder,KNeighborsRegressor,0.6878048780487804,0.6585365853658538,0.8115026712006892,0.5507305194805194
GrayEncoder,DecisionTreeRegressor,0.2926829268292683,0.5853658536585366,0.7650920556760059,0.6006493506493507
HashingEncoder,RandomForestRegressor,0.31731707317073166,0.2478121951219512,0.4978073875726948,0.8309365665584416
HashingEncoder,SVR,0.42771285115474983,0.3822083517124733,0.618230015214785,0.73924827953382
HashingEncoder,LinearRegression,0.5805648172439005,0.5336681025758273,0.7305259082166952,0.6359187985267996
HashingEncoder,MLPRegressor,0.7812489667811544,0.9517893850722823,0.9755969378141172,0.3506664138366451
HashingEncoder,KNeighborsRegressor,0.5073170731707317,0.42536585365853663,0.6522007771066641,0.7098051948051949
HashingEncoder,DecisionTreeRegressor,0.3170731707317073,0.5121951219512195,0.7156780854205468,0.6505681818181819
HelmertEncoder,RandomForestRegressor,0.3107317073170731,0.25531707317073166,0.5052890986066607,0.8258165584415584
HelmertEncoder,SVR,0.44083812870825423,0.3534419934589475,0.5945098766706467,0.7588733802741514
HelmertEncoder,LinearRegression,4359797432.920995,7.793211797188659e+20,27916324609.78461,-5.316716327546321e+20
HelmertEncoder,MLPRegressor,0.5150226552195544,0.5671923882042295,0.7531217618713653,0.613047725417488
HelmertEncoder,KNeighborsRegressor,0.624390243902439,0.5482926829268293,0.7404678810906178,0.6259415584415584
HelmertEncoder,DecisionTreeRegressor,0.3170731707317073,0.6097560975609756,0.7808688094430303,0.5840097402597403
JamesSteinEncoder,RandomForestRegressor,0.345609756097561,0.31072926829268294,0.5574309538343587,0.7880130275974027
JamesSteinEncoder,SVR,0.38330291347135415,0.29019159535530864,0.5386943431625291,0.802024321512876
JamesSteinEncoder,LinearRegression,0.5310523766560359,0.4807228903614304,0.6933418279329687,0.6720392943597546
