encoding,model,mae,mse,rmse,r2
BackwardDifferenceEncoder,RandomForestRegressor,181.60899724192168,219568.22635807277,468.5810776782101,0.917193414572519
BackwardDifferenceEncoder,SVR,1287.783217879501,4178913.4352146676,2044.2390846509777,-0.5760092346094983
BackwardDifferenceEncoder,LinearRegression,10732040348269.566,8.652400733013721e+27,93018281713939.02,-3.263112210428243e+21
BackwardDifferenceEncoder,MLPRegressor,1030.668574053899,1545529.960221575,1243.1934524528253,0.41712851260587813
BackwardDifferenceEncoder,KNeighborsRegressor,963.2260131835938,1693364.75,1301.29345703125,0.3613749333947498
BackwardDifferenceEncoder,DecisionTreeRegressor,171.33966726024735,272806.5301558071,522.3088455653485,0.8971154541837882
BaseNEncoder,RandomForestRegressor,179.19877813660995,219314.45869252356,468.3102163016771,0.9172891189202044
BaseNEncoder,SVR,1271.6951807668638,4088572.4343882836,2022.0218679302861,-0.5419385954891807
BaseNEncoder,LinearRegression,500.92600113702645,541495.580069545,735.8638325597644,0.7957837490725646
BaseNEncoder,MLPRegressor,1111.7712544498943,1824604.4414860355,1350.7791979024682,0.3118801109734448
BaseNEncoder,KNeighborsRegressor,589.2275390625,850585.0,922.2716674804688,0.6792157117422033
BaseNEncoder,DecisionTreeRegressor,180.6303613283815,276650.72066043835,525.9759696606285,0.8956656802583837
BinaryEncoder,RandomForestRegressor,168.30959774974292,206478.9661447052,454.3995666202876,0.9221298161731457
BinaryEncoder,SVR,1274.8512057182081,4104092.0715486323,2025.8558861746885,-0.5477915742267605
BinaryEncoder,LinearRegression,278.7004122547953,302076.3565781882,549.6147346807472,0.8860768152044861
BinaryEncoder,MLPRegressor,972.5302522961788,1457551.2702485234,1207.2908805455806,0.45030824460940855
BinaryEncoder,KNeighborsRegressor,608.5382690429688,919300.5625,958.8016357421875,0.6533007660808051
BinaryEncoder,DecisionTreeRegressor,143.30403506425452,226272.41063520196,475.68099671439677,0.9146650405118736
CatBoostEncoder,RandomForestRegressor,186.5104210902655,230886.37186974986,480.50637026968735,0.912924960075533
CatBoostEncoder,SVR,1261.7886141850022,4036952.372543788,2009.216855529484,-0.5224709287333942
CatBoostEncoder,LinearRegression,275.84528437593036,287775.9098156864,536.4474902687926,0.8914699961129072
CatBoostEncoder,MLPRegressor,1027.325220109325,1619077.2251092303,1272.4296542871164,0.3893913578549658
CatBoostEncoder,KNeighborsRegressor,305.851806640625,384259.71875,619.8868408203125,0.85508270532147
CatBoostEncoder,DecisionTreeRegressor,221.00470585427004,402862.71605709457,634.7146729492667,0.8480668789557662
CountEncoder,RandomForestRegressor,183.61519716314825,216892.1923154493,465.71685852613206,0.9182026372876307
CountEncoder,SVR,1269.226261855146,4064212.895485661,2015.9893093678998,-0.5327517915851199
CountEncoder,LinearRegression,309.4547442201511,314081.6286179609,560.4298605695104,0.8815492221131234
CountEncoder,MLPRegressor,1091.2410402339995,1701647.1579714082,1304.4719843566622,0.35825145062566144
CountEncoder,KNeighborsRegressor,460.9672546386719,548784.625,740.7999877929688,0.7930348352864298
CountEncoder,DecisionTreeRegressor,171.00166741841235,265584.89491841826,515.3492940893761,0.8998389764580709
GLMMEncoder,RandomForestRegressor,175.80426102333112,207541.27109092232,455.5669776124278,0.9217291851404228
GLMMEncoder,SVR,1258.8841941065132,4011790.3926451025,2002.9454292728753,-0.5129814972588822
GLMMEncoder,LinearRegression,308.63515447876216,284384.6145101458,533.2772398201013,0.8927489679800393
GLMMEncoder,MLPRegressor,1013.7069509471053,1575763.702300315,1255.2942692055576,0.40572634851428135
GLMMEncoder,KNeighborsRegressor,299.8491516113281,356661.15625,597.2111206054688,0.8654910553399463
GLMMEncoder,DecisionTreeRegressor,167.42561995376,258825.57626020903,508.7490307216408,0.9023881435538135
GrayEncoder,RandomForestRegressor,173.27192915351242,207251.34662354726,455.24866460380446,0.9218385254378485
GrayEncoder,SVR,1272.2756307904845,4102851.694347276,2025.5497264563207,-0.5473237861392486
GrayEncoder,LinearRegression,283.552806562614,309260.35112902464,556.1118153114755,0.8833674885029339
GrayEncoder,MLPRegressor,973.1453784017289,1443002.3090103446,1201.2503107222676,0.4557951487103947
GrayEncoder,KNeighborsRegressor,433.4370422363281,567439.6875,753.2859497070312,0.7859993406006016
GrayEncoder,DecisionTreeRegressor,156.37833199948977,229302.38549932436,478.8552865943158,0.9135223347725655
HashingEncoder,RandomForestRegressor,378.04394947708164,517331.66129267873,719.2577154905457,0.8048967780278387
HashingEncoder,SVR,1272.8832915370456,4100625.921885334,2025.0002276259956,-0.5464843722560606
HashingEncoder,LinearRegression,875.7849231804597,1119077.9538437377,1057.864808869138,0.5779579508291409
HashingEncoder,MLPRegressor,1037.0074298827728,1661779.7066609845,1289.1003477856116,0.3732868114675748
HashingEncoder,KNeighborsRegressor,726.9891967773438,1219395.75,1104.2625732421875,0.5401247243865359
HashingEncoder,DecisionTreeRegressor,420.9391269046588,1066495.961144588,1032.7129132264145,0.597788394161541
HelmertEncoder,RandomForestRegressor,165.6896529018407,228121.6802707592,477.6208540995244,0.9139676185460675
HelmertEncoder,SVR,1288.131995523047,4179918.513206079,2044.484901682103,-0.5763882834269778
HelmertEncoder,LinearRegression,560298085885846.8,1.6596327118452137e+31,4073858995897150.0,-6.259034843572202e+24
HelmertEncoder,MLPRegressor,878.3519590468633,1630267.6352616786,1276.8193432360267,0.3851710766711752
HelmertEncoder,KNeighborsRegressor,570.862060546875,691369.25,831.4861450195312,0.739261325326855
HelmertEncoder,DecisionTreeRegressor,184.8730237892425,278715.5417865494,527.9351681660821,0.8948869665537288
JamesSteinEncoder,RandomForestRegressor,232.27064833362482,463178.0665199505,680.5718672704232,0.8253199255211382
JamesSteinEncoder,SVR,1257.5790216363278,4010506.131758986,2002.624810532164,-0.5124971591534044
JamesSteinEncoder,LinearRegression,337.07275390625,302467.15625,549.9701538085938,0.885929428842469
JamesSteinEncoder,MLPRegressor,997.4810180664062,1556929.25,1247.7696533203125,0.41282946413600097
JamesSteinEncoder,KNeighborsRegressor,320.1512451171875,419906.71875,648.0020751953125,0.8416390096914333
JamesSteinEncoder,DecisionTreeRegressor,245.1668811790718,590334.5616918743,768.3323250338192,0.777364921489992
LeaveOneOutEncoder,RandomForestRegressor,180.45894947048117,222859.34670421362,472.07980967651395,0.9159522220620399
LeaveOneOutEncoder,SVR,1261.6230842679688,4031995.3513327865,2007.9829061356043,-0.5206014688065956
LeaveOneOutEncoder,LinearRegression,270.9123179014778,287480.8029003466,536.1723630516092,0.8915812908862935
LeaveOneOutEncoder,MLPRegressor,1042.13840142014,1627620.1531135137,1275.7821730661992,0.38616953150367095
LeaveOneOutEncoder,KNeighborsRegressor,283.7784423828125,351759.9375,593.093505859375,0.8673394684642831
LeaveOneOutEncoder,DecisionTreeRegressor,218.29029260417425,383979.61783082894,619.660889382918,0.8551883323297109
MEstimateEncoder,RandomForestRegressor,175.7590179772234,207906.43770042146,455.96758404564406,0.9215914684928628
MEstimateEncoder,SVR,1258.4394555836955,4010691.2375116474,2002.6710257832283,-0.5125669687773882
MEstimateEncoder,LinearRegression,308.97703369082006,284619.71510438167,533.4976242724813,0.8926603036146913
MEstimateEncoder,MLPRegressor,1010.5721259318811,1570827.3505989194,1253.3265139615132,0.4075880132717089
MEstimateEncoder,KNeighborsRegressor,299.77728271484375,356691.875,597.2368774414062,0.8654794722280684
MEstimateEncoder,DecisionTreeRegressor,174.05402648333413,274955.3068896647,524.3618091448544,0.8963050779871586
OneHotEncoder,RandomForestRegressor,162.10751752812743,219523.58350407038,468.53343904578503,0.9172102508988172
OneHotEncoder,SVR,1288.0207479504231,4178699.892955391,2044.1868537282473,-0.575928700619547
OneHotEncoder,LinearRegression,187905493300403.72,2.3019588486705612e+30,1517220764645198.5,-8.681463398175153e+23
OneHotEncoder,MLPRegressor,728.2589113252095,1237593.0295318179,1112.471585943577,0.533261917608902
OneHotEncoder,KNeighborsRegressor,555.6640014648438,663755.3125,814.7117919921875,0.7496754725898296
OneHotEncoder,DecisionTreeRegressor,174.14944137329726,259756.416547557,509.6630421636996,0.9020370922789905
OrdinalEncoder,RandomForestRegressor,182.416822772378,219002.66452716626,467.9772051362825,0.9174067070185268
OrdinalEncoder,SVR,1269.488877637362,4072599.420345755,2018.0682397643927,-0.5359146330343856
OrdinalEncoder,LinearRegression,499.65648402974085,541707.5949611184,736.0078769694782,0.7957037911045007
