encoding,model,mae,mse,rmse,r2
BackwardDifferenceEncoder,RandomForestRegressor,27.033545655867222,11949.256921003844,109.31265672832146,-0.013700222067143608
BackwardDifferenceEncoder,SVR,19.618990193574398,12128.037198852755,110.12736807375701,-0.02886682268128804
BackwardDifferenceEncoder,LinearRegression,24.52669190919824,11613.673870712719,107.76675679778397,0.014768545057959215
BackwardDifferenceEncoder,MLPRegressor,20.974565322674696,11933.956228554629,109.24264839592013,-0.012402207015991262
BackwardDifferenceEncoder,KNeighborsRegressor,22.18759536743164,11529.443359375,107.375244140625,0.021914012594105192
BackwardDifferenceEncoder,DecisionTreeRegressor,32.013461166610696,14183.087361511312,119.09276788080506,-0.20320442543082318
BaseNEncoder,RandomForestRegressor,26.526189824269004,11621.27935560451,107.80203780821822,0.0141233432872796
BaseNEncoder,SVR,19.607985240746437,12133.565236905804,110.15246359889463,-0.029335786855296586
BaseNEncoder,LinearRegression,24.662733349007503,11722.10381185722,108.26866495832125,0.0055700270125648155
BaseNEncoder,MLPRegressor,23.221300341239,11722.559513027025,108.27076943029003,0.005531368175443641
BaseNEncoder,KNeighborsRegressor,23.518617630004883,11463.67578125,107.06855773925781,0.02749356001454606
BaseNEncoder,DecisionTreeRegressor,23.862307445504346,12421.016180453767,111.44961274250247,-0.0537213270804624
BinaryEncoder,RandomForestRegressor,26.81850826818705,11729.144569180178,108.30117528993016,0.004972733196808021
BinaryEncoder,SVR,19.6346399331643,12124.16601723816,110.10979074195973,-0.028538415844920006
BinaryEncoder,LinearRegression,24.3847593317884,11746.559649711913,108.38154662908217,0.003495346684906475
BinaryEncoder,MLPRegressor,23.732073690568516,11787.576009183218,108.5706037985569,1.5775278975671547e-05
BinaryEncoder,KNeighborsRegressor,23.987403869628906,11637.70703125,107.87820434570312,0.01272991222504849
BinaryEncoder,DecisionTreeRegressor,23.701490068521636,9513.508807739126,97.53721755175881,0.19293341378480366
CatBoostEncoder,RandomForestRegressor,24.919628593603576,11665.03329107221,108.00478364902274,0.010411533055636024
CatBoostEncoder,SVR,19.64015575355389,12136.657981864964,110.16650117828452,-0.029598155994450925
CatBoostEncoder,LinearRegression,24.460945089345145,11775.992366296605,108.51724455724354,0.000998459093051629
CatBoostEncoder,MLPRegressor,22.075233191034524,11837.44696143406,108.80003199187976,-0.004214964398444376
CatBoostEncoder,KNeighborsRegressor,24.14913558959961,11773.01953125,108.50354766845703,0.0012507294185216677
CatBoostEncoder,DecisionTreeRegressor,30.803557286755396,10354.18095453168,101.75549594263535,0.12161604672816817
CountEncoder,RandomForestRegressor,26.886975221333117,11680.023676771056,108.07415822837139,0.009139842488410932
CountEncoder,SVR,19.67630462109765,12140.194157494027,110.18254924212829,-0.02989814301825877
CountEncoder,LinearRegression,24.634974831358292,11786.693922039229,108.56654144827138,9.060603536958922e-05
CountEncoder,MLPRegressor,22.73160021931957,11827.572569662381,108.75464389929462,-0.0033772827586653342
CountEncoder,KNeighborsRegressor,26.61927032470703,12383.748046875,111.28228759765625,-0.05055964915235678
CountEncoder,DecisionTreeRegressor,25.034518881915854,9555.245630803798,97.75093672596594,0.18939272275365948
GLMMEncoder,RandomForestRegressor,26.368659192230457,11682.447738572488,108.08537245424326,0.008934200246164203
GLMMEncoder,SVR,19.649307850302442,12121.584408285507,110.09806723228844,-0.028319408287722503
GLMMEncoder,LinearRegression,24.532980245986025,11714.201355422427,108.2321641445944,0.006240421991581924
GLMMEncoder,MLPRegressor,22.463060334500412,11775.604158312159,108.5154558499026,0.0010313922304544532
GLMMEncoder,KNeighborsRegressor,23.82859992980957,12044.544921875,109.74764251708984,-0.02178368042350809
GLMMEncoder,DecisionTreeRegressor,24.191586220350402,9574.985400627771,97.85185435456893,0.18771812414167866
GrayEncoder,RandomForestRegressor,26.44771803594132,11576.379249316844,107.59358368098371,0.01793238748270909
GrayEncoder,SVR,19.631770797159973,12139.00414760947,110.1771489357456,-0.029797190022418762
GrayEncoder,LinearRegression,24.258098302771625,11729.520660208775,108.30291159617444,0.004940827986155472
GrayEncoder,MLPRegressor,23.45681152486194,11802.992043897584,108.64157603743413,-0.0012920246885586018
GrayEncoder,KNeighborsRegressor,21.57276725769043,11499.27734375,107.23468017578125,0.024473297071440192
GrayEncoder,DecisionTreeRegressor,23.367355463071128,9500.734941284893,97.47171354441704,0.19401706872225444
HashingEncoder,RandomForestRegressor,26.345730429152443,11481.55889925021,107.15203637472416,0.025976352940517256
HashingEncoder,SVR,19.669511674503955,12127.561474121605,110.12520816834629,-0.028826465170457505
HashingEncoder,LinearRegression,24.561430103535606,11744.240087051354,108.3708451893375,0.0036921238736180584
HashingEncoder,MLPRegressor,20.54363297115677,11955.12124546641,109.33947706782948,-0.014197714676874806
HashingEncoder,KNeighborsRegressor,22.363651275634766,11526.03515625,107.359375,0.022203194254196257
HashingEncoder,DecisionTreeRegressor,26.17620154374685,10279.697327116271,101.3888422219934,0.12793477182969704
HelmertEncoder,RandomForestRegressor,26.236273707784974,11854.36987180098,108.87777492124359,-0.005650598271778939
HelmertEncoder,SVR,19.654042901975405,12128.592549955549,110.1298894485759,-0.028913935195476137
HelmertEncoder,LinearRegression,24.52669190919824,11613.673870712719,107.76675679778397,0.014768545057959215
HelmertEncoder,MLPRegressor,20.72821930760692,11934.915835658836,109.2470403977098,-0.012483614080971428
HelmertEncoder,KNeighborsRegressor,21.63494110107422,11510.29296875,107.2860336303711,0.023538717475014015
HelmertEncoder,DecisionTreeRegressor,29.013413108646485,13396.760592216448,115.7443760716539,-0.13649738030482528
JamesSteinEncoder,RandomForestRegressor,26.550897017794732,11415.816397545248,106.8448239155517,0.031553535607033445
JamesSteinEncoder,SVR,19.625100238520755,12129.559462985784,110.13427923669262,-0.02899596204952659
JamesSteinEncoder,LinearRegression,24.73474884033203,11749.470703125,108.39497375488281,0.0032483094940843893
JamesSteinEncoder,MLPRegressor,22.768131256103516,11802.37109375,108.63871765136719,-0.0012393279803553092
JamesSteinEncoder,KNeighborsRegressor,25.868135452270508,12316.2451171875,110.97857666015625,-0.04483323938191397
JamesSteinEncoder,DecisionTreeRegressor,25.126057407173974,12516.205332315478,111.87584785071118,-0.06179657937594074
LeaveOneOutEncoder,RandomForestRegressor,21.861720907256867,11940.894619993622,109.27440057027822,-0.012990816750386713
LeaveOneOutEncoder,SVR,19.634946959050723,12130.98814271594,110.14076512679554,-0.029117162302336963
LeaveOneOutEncoder,LinearRegression,27.223920157836968,11852.510792766108,108.86923712769419,-0.005492885633834321
LeaveOneOutEncoder,MLPRegressor,22.442405223478026,11796.153172511435,108.61009700995315,-0.0007118576130109577
LeaveOneOutEncoder,KNeighborsRegressor,23.44478988647461,12018.052734375,109.62687683105469,-0.019536501923951954
LeaveOneOutEncoder,DecisionTreeRegressor,20.576538225062766,12179.405117099894,110.36034213928431,-0.03322455559125048
MEstimateEncoder,RandomForestRegressor,27.038244394198443,11583.658302620706,107.62740497949723,0.017314878126324373
MEstimateEncoder,SVR,19.631870663380553,12128.118232017387,110.12773597971307,-0.028873697028164003
MEstimateEncoder,LinearRegression,24.5987365233725,11760.585213398494,108.44623190041456,0.0023055055828450355
MEstimateEncoder,MLPRegressor,22.546519206707696,11820.211363732282,108.72079545207662,-0.0027528040872839554
MEstimateEncoder,KNeighborsRegressor,24.388404846191406,12101.017578125,110.00462341308594,-0.02657461730147226
MEstimateEncoder,DecisionTreeRegressor,25.19798048428045,12516.743316933607,111.87825220718103,-0.06184221862618644
OneHotEncoder,RandomForestRegressor,26.10169408839203,11803.691712646181,108.64479606794879,-0.0013513802092002258
OneHotEncoder,SVR,19.656576736115923,12127.824122652317,110.1264006614777,-0.028848746629101196
OneHotEncoder,LinearRegression,24.52669190919824,11613.673870712719,107.76675679778397,0.014768545057959215
OneHotEncoder,MLPRegressor,21.776761359735815,11744.781294195082,108.37334217507127,0.0036462112444556327
OneHotEncoder,KNeighborsRegressor,22.053306579589844,11530.7958984375,107.38154602050781,0.02179947540655469
OneHotEncoder,DecisionTreeRegressor,30.123942034462324,13801.764442741018,117.4809109717022,-0.17085537393814954
OrdinalEncoder,RandomForestRegressor,26.716453447917427,11950.721169198205,109.31935404674785,-0.013824439725998783
OrdinalEncoder,SVR,19.635104851115965,12134.188367376571,110.15529205343051,-0.029388649347146023
OrdinalEncoder,LinearRegression,24.632320068323338,11746.998347093555,108.38357046662357,0.003458130342825161
OrdinalEncoder,MLPRegressor,22.494050907449477,11766.822715176784,108.47498658758518,0.0017763549436380366
