encoder,time
BackwardDifferenceEncoder,6076.012791633606
BaseNEncoder,4280.7650644779205
BinaryEncoder,4474.785969734192
CatBoostEncoder,9315.096032619476
CountEncoder,8917.180477380753
GLMMEncoder,8534.87862086296
GrayEncoder,4819.290220975876
HashingEncoder,13532.005297660828
HelmertEncoder,6975.802652597427
JamesSteinEncoder,12641.75903224945
LeaveOneOutEncoder,10163.872835636139
MEstimateEncoder,11198.518258333206
OneHotEncoder,6799.464733839035
OrdinalEncoder,11375.544483661652
PolynomialEncoder,7484.355980634689
RankHotEncoder,7066.772475004196
SumEncoder,6801.621330976486
TargetEncoder,13022.066548109055
MinHashEncoder,27485.26321363449
SimilarityEncoder,13160.716618537903
GapEncoder,18073.88895893097
MeanEncoder,13271.35614824295
DecisionTreeEncoder,13171.165341377258
QuantileEncoder,15205.89518046379
SummaryEncoder,6895.425352096558
