encoder,time
BackwardDifferenceEncoder,85061.91212081909
BaseNEncoder,72670.1436779499
BinaryEncoder,152330.06128883362
CatBoostEncoder,110342.80744743347
CountEncoder,45057.53888964653
GLMMEncoder,100812.98634576797
GrayEncoder,81383.9315738678
HashingEncoder,53064.31354045868
HelmertEncoder,118335.16679859161
JamesSteinEncoder,88752.3319170475
LeaveOneOutEncoder,132615.37239933014
MEstimateEncoder,80316.24490952492
OneHotEncoder,173657.10159230232
OrdinalEncoder,87736.96817827225
PolynomialEncoder,119883.35832738876
RankHotEncoder,141105.06618189812
SumEncoder,78909.9746518135
TargetEncoder,64863.69199037552
MinHashEncoder,124148.25566005707
SimilarityEncoder,92163.75643134117
GapEncoder,86486.78694152832
MeanEncoder,58572.892471790314
DecisionTreeEncoder,8992.758983135223
WOEEncoder,12078.823825120926
