encoder,time
BackwardDifferenceEncoder,2577.8655796051025
BaseNEncoder,696.3339266777039
BinaryEncoder,417.18973541259766
CatBoostEncoder,1548.940889120102
CountEncoder,988.4266638755798
GLMMEncoder,4683.425014019012
GrayEncoder,1177.5903429985046
HashingEncoder,357.3705687522888
HelmertEncoder,418.4111964702606
JamesSteinEncoder,1453.0891861915588
LeaveOneOutEncoder,1071.2285177707672
MEstimateEncoder,1362.5221831798553
OneHotEncoder,399.8485310077667
OrdinalEncoder,1123.1493723392487
PolynomialEncoder,1878.6086440086365
RankHotEncoder,317.19307374954224
SumEncoder,1160.2731149196625
TargetEncoder,1702.6847546100616
MinHashEncoder,417.0826916694641
SimilarityEncoder,1115.9779267311096
GapEncoder,304.1351487636566
MeanEncoder,1059.3652827739716
DecisionTreeEncoder,840.7611520290375
QuantileEncoder,478.3425009250641
SummaryEncoder,374.62024426460266
