encoder,time
BackwardDifferenceEncoder,2512.381462574005
BaseNEncoder,1825.910931110382
BinaryEncoder,1671.1629486083984
CatBoostEncoder,4992.866035699844
CountEncoder,6207.192397117615
GLMMEncoder,13003.402450084686
GrayEncoder,7536.938500881195
HashingEncoder,6184.331317901611
HelmertEncoder,7181.086277246475
JamesSteinEncoder,4743.780100107193
LeaveOneOutEncoder,6110.746745586395
MEstimateEncoder,5833.222716093063
OneHotEncoder,5915.984099626541
OrdinalEncoder,4764.856241941452
PolynomialEncoder,7578.234794378281
RankHotEncoder,16310.716105937958
SumEncoder,12582.530889987946
TargetEncoder,11658.996968984604
MinHashEncoder,16920.804272651672
SimilarityEncoder,14674.125166416168
GapEncoder,17851.268669366837
MeanEncoder,12773.230408668518
DecisionTreeEncoder,12386.069075345993
QuantileEncoder,14154.68730545044
SummaryEncoder,16532.994428157806
