encoder,time
BackwardDifferenceEncoder,4635.762504816055
BaseNEncoder,116.08971095085144
BinaryEncoder,4781.951493263245
CatBoostEncoder,580.1910076141357
CountEncoder,80.24196219444275
GLMMEncoder,3165.7780339717865
GrayEncoder,5062.547325849533
HashingEncoder,232.54233479499817
HelmertEncoder,5851.5843250751495
JamesSteinEncoder,679.7173056602478
LeaveOneOutEncoder,577.2571020126343
MEstimateEncoder,578.3360166549683
OneHotEncoder,5681.806975364685
OrdinalEncoder,121.16788125038147
PolynomialEncoder,5793.54709815979
RankHotEncoder,6161.37390422821
SumEncoder,5933.063047647476
TargetEncoder,746.7767701148987
MinHashEncoder,0.0
SimilarityEncoder,7856.9711973667145
GapEncoder,0.0
MeanEncoder,1137.953238248825
DecisionTreeEncoder,120.89837145805359
