encoder,time
BackwardDifferenceEncoder,96842.2424044609
BaseNEncoder,10134.632312774658
BinaryEncoder,8237.617847919464
CatBoostEncoder,9598.640550851822
CountEncoder,2673.0033688545227
GLMMEncoder,132353.3616719246
GrayEncoder,4154.939014196396
HashingEncoder,3086.955622434616
HelmertEncoder,221869.07771635056
JamesSteinEncoder,6654.221815824509
LeaveOneOutEncoder,8668.439443826675
MEstimateEncoder,5317.289536714554
OneHotEncoder,239894.01101779938
OrdinalEncoder,3672.2381784915924
PolynomialEncoder,0.0
RankHotEncoder,95013.39103722572
SumEncoder,109081.44924163818
TargetEncoder,7938.27974486351
MinHashEncoder,5647.452411651611
SimilarityEncoder,83026.63669776917
GapEncoder,9108.512681245804
MeanEncoder,6436.0396296978
DecisionTreeEncoder,7668.180077314377
WOEEncoder,9310.230063676834
