encoder,time
BackwardDifferenceEncoder,180.7707498073578
BaseNEncoder,505.30984377861023
BinaryEncoder,444.3900420665741
CatBoostEncoder,456.76702070236206
CountEncoder,43.57272434234619
GLMMEncoder,3646.7539660930634
GrayEncoder,149.0102858543396
HashingEncoder,146.83465814590454
HelmertEncoder,223.50854086875916
JamesSteinEncoder,292.0268795490265
LeaveOneOutEncoder,144.9311285018921
MEstimateEncoder,152.1157579421997
OneHotEncoder,257.1548418998718
OrdinalEncoder,37.92161703109741
PolynomialEncoder,171.16886687278748
RankHotEncoder,195.15651321411133
SumEncoder,210.77231979370117
TargetEncoder,312.37248730659485
MinHashEncoder,868.1168944835663
SimilarityEncoder,1584.3626699447632
GapEncoder,343.46389627456665
MeanEncoder,315.3222687244415
DecisionTreeEncoder,47.23851275444031
