encoder,time
BackwardDifferenceEncoder,42503.88009262085
BaseNEncoder,29748.987250566483
BinaryEncoder,23268.832107782364
CatBoostEncoder,14930.211914300919
CountEncoder,20673.195583581924
GLMMEncoder,30297.685848474503
GrayEncoder,26233.78294110298
HashingEncoder,28324.352479219437
HelmertEncoder,51123.494941949844
JamesSteinEncoder,10572.12586569786
LeaveOneOutEncoder,8143.9900488853455
MEstimateEncoder,15511.941246032715
OneHotEncoder,62472.30673408508
OrdinalEncoder,23563.958341360092
PolynomialEncoder,0.0
RankHotEncoder,53272.88286137581
SumEncoder,39675.77802491188
TargetEncoder,17094.11043357849
MinHashEncoder,18108.937434196472
SimilarityEncoder,61634.21604657173
GapEncoder,24834.441616773605
MeanEncoder,27687.814185380936
DecisionTreeEncoder,18073.99386739731
QuantileEncoder,16174.898292064667
SummaryEncoder,20825.100492239
