encoder,time
BackwardDifferenceEncoder,1277.934556722641
BaseNEncoder,525.7333984375
BinaryEncoder,1053.22980093956
CatBoostEncoder,1447.6087572574615
CountEncoder,862.753467798233
GLMMEncoder,3786.9529569149017
GrayEncoder,958.5690684318542
HashingEncoder,1415.1383078098297
HelmertEncoder,1336.2602593898773
JamesSteinEncoder,1307.796731710434
LeaveOneOutEncoder,1032.2987797260284
MEstimateEncoder,1060.6693150997162
OneHotEncoder,605.4998068809509
OrdinalEncoder,748.7711322307587
PolynomialEncoder,965.1560437679291
RankHotEncoder,506.3843517303467
SumEncoder,888.029482126236
TargetEncoder,1472.2038431167603
MinHashEncoder,529.4976673126221
SimilarityEncoder,2057.8665821552277
GapEncoder,1121.4000499248505
MeanEncoder,1520.33513712883
DecisionTreeEncoder,723.0102739334106
QuantileEncoder,705.8329875469208
SummaryEncoder,669.010066986084
