encoder,time
BackwardDifferenceEncoder,983.9154279232025
BaseNEncoder,772.888313293457
BinaryEncoder,884.8871943950653
CatBoostEncoder,1866.3280754089355
CountEncoder,739.4331495761871
GLMMEncoder,1200.84183883667
GrayEncoder,945.854168176651
HashingEncoder,738.1141805648804
HelmertEncoder,974.9908273220062
JamesSteinEncoder,1897.3772571086884
LeaveOneOutEncoder,1936.6368534564972
MEstimateEncoder,2209.5044882297516
OneHotEncoder,1016.5058188438416
OrdinalEncoder,578.3670184612274
PolynomialEncoder,1168.4139280319214
RankHotEncoder,745.6800413131714
SumEncoder,1281.0377266407013
TargetEncoder,1560.4652240276337
MinHashEncoder,1416.902958393097
SimilarityEncoder,2270.0040752887726
GapEncoder,1086.4213745594025
MeanEncoder,1502.9699709415436
DecisionTreeEncoder,800.9250454902649
WOEEncoder,1658.7678444385529
