encoder,time
BackwardDifferenceEncoder,3807.3996851444244
BaseNEncoder,6189.505091905594
BinaryEncoder,4122.797299861908
CatBoostEncoder,7294.518214941025
CountEncoder,4569.221176862717
GLMMEncoder,5699.551155805588
GrayEncoder,6157.442621707916
HashingEncoder,6058.112226724625
HelmertEncoder,4363.146060705185
JamesSteinEncoder,6309.267973899841
LeaveOneOutEncoder,5911.3857617378235
MEstimateEncoder,6267.057565689087
OneHotEncoder,9978.394298553467
OrdinalEncoder,6249.2035982608795
PolynomialEncoder,5534.1412625312805
RankHotEncoder,13023.91803264618
SumEncoder,4293.368355035782
TargetEncoder,6932.661252498627
MinHashEncoder,11103.97214794159
SimilarityEncoder,9846.289959430695
GapEncoder,6664.774238824844
MeanEncoder,6023.149760484695
DecisionTreeEncoder,8806.59646320343
WOEEncoder,9662.649914741516
