encoder,time
BackwardDifferenceEncoder,9490.443579912186
BaseNEncoder,1488.159937620163
BinaryEncoder,7760.680557489395
CatBoostEncoder,4951.180833816528
CountEncoder,2473.508064508438
GLMMEncoder,4825.949132442474
GrayEncoder,8744.610954999924
HashingEncoder,2132.6911330223083
HelmertEncoder,4116.968980312347
JamesSteinEncoder,3187.8403041362762
LeaveOneOutEncoder,3351.6496233940125
MEstimateEncoder,1933.3636174201965
OneHotEncoder,3514.9365072250366
OrdinalEncoder,492.85855889320374
PolynomialEncoder,3998.933555841446
RankHotEncoder,5405.585920095444
SumEncoder,7339.481241941452
TargetEncoder,2166.4946854114532
MinHashEncoder,23754.17970609665
SimilarityEncoder,15314.882192850113
GapEncoder,13333.22049498558
MeanEncoder,2579.8213064670563
DecisionTreeEncoder,1430.7897758483887
