encoder,time
BackwardDifferenceEncoder,6400.559747457504
BaseNEncoder,7565.051896095276
BinaryEncoder,4984.559316635132
CatBoostEncoder,11375.425896406174
CountEncoder,10321.401589870453
GLMMEncoder,9869.346056461334
GrayEncoder,11938.4677567482
HashingEncoder,12737.73712348938
HelmertEncoder,7402.333535671234
JamesSteinEncoder,7710.375062465668
LeaveOneOutEncoder,13062.082367658615
MEstimateEncoder,6080.137831449509
OneHotEncoder,4758.309193849564
OrdinalEncoder,4104.065070152283
PolynomialEncoder,7422.207692861557
RankHotEncoder,8504.588683366776
SumEncoder,6104.870478153229
TargetEncoder,7326.516227245331
MinHashEncoder,3982.803692340851
SimilarityEncoder,3780.454921722412
GapEncoder,3146.835862636566
MeanEncoder,1999.1503615379333
DecisionTreeEncoder,2802.3776264190674
