encoding,model,accuracy,precision,recall,F1,AUC
onehot,nb,0.715,0.6900244798041616,0.7239451857194374,0.6916835699797161,
binary,nb,0.7,0.6613873930947102,0.6837360259646592,0.6657754010695187,
basen,nb,0.74,0.6852664576802507,0.6776054814280563,0.6810207336523126,
hash,nb,0.705,0.629746835443038,0.6034980165885323,0.6092585847213484,
ordinal,nb,0.74,0.6887604670362071,0.6923909123692751,0.6904761904761905,
gray,nb,0.72,0.6730833056754066,0.6880634691669671,0.6783088235294118,
rankhot,nb,0.725,0.6796703296703297,0.6965380454381536,0.685345690666209,
count,nb,0.71,0.6575498575498575,0.666185839644188,0.6610565684899485,
minhash,nb,0.66,0.68985861051775,0.7243659093641063,0.6532027743778049,
similarity,nb,0.705,0.6863636363636363,0.7217814641182834,0.6844835423407043,
gap,nb,0.655,0.6679044560417503,0.701105902151701,0.6441005802707931,
sum,nb,0.725,0.675599276345545,0.686681091477341,0.68,
helm,nb,0.77,0.7283991591990264,0.7481668469768001,0.7357536764705883,
polynomial,nb,0.71,0.6833759590792838,0.715470609448251,0.6853298611111112,
backdiff,nb,0.745,0.6998663101604279,0.7156509195816805,0.7058060050186035,
target,nb,0.73,0.6862102849656075,0.70501262170934,0.6923076923076923,
mestimate,nb,0.745,0.6998663101604279,0.7156509195816805,0.7058060050186035,
jamesstein,nb,0.735,0.6906593406593406,0.7085587210001202,0.6967876655510741,
loout,nb,0.73,0.6803418803418804,0.6902271907681212,0.6844319775596073,
glmm,nb,0.73,0.6906666666666667,0.7148695756701526,0.6970037032880709,
catboost,nb,0.73,0.6821905510043766,0.6951556677485276,0.6871741397288843,
woe,nb,0.735,0.6948734448734448,0.7184156749609327,0.7015009433696601,
onehot,RF,0.795,0.7829553508150248,0.6919701887246064,0.712794648173444,
binary,RF,0.765,0.7585227272727273,0.6312657771366751,0.6427349777659535,
basen,RF,0.79,0.7714285714285715,0.6884240894338262,0.707968293700459,
hash,RF,0.715,0.6401960784313725,0.5859478302680611,0.5881354095162397,
ordinal,RF,0.8,0.7832863538385011,0.7053732419761991,0.7258771929824561,
gray,RF,0.79,0.7667053556624108,0.6933525664142325,0.712171052631579,
rankhot,RF,0.8,0.7832863538385011,0.7053732419761991,0.7258771929824561,
count,RF,0.78,0.7501243574863207,0.6813318908522659,0.6984649122807017,
minhash,RF,0.8,0.7613913489924271,0.7448010578194495,0.751984126984127,
similarity,RF,0.82,0.8233766233766234,0.724486116119726,0.7496871088861077,
gap,RF,0.785,0.747960372960373,0.7045918980646713,0.7188715635317577,
sum,RF,0.775,0.7645348837209303,0.6531434066594543,0.6694943263192685,
helm,RF,0.795,0.7625291375291375,0.7166125736266378,0.7319473047628388,
polynomial,RF,0.78,0.7541125541125542,0.6764034138718595,0.6940620219719094,
backdiff,RF,0.785,0.7605013550135502,0.6848779901430461,0.7031924072476272,
target,RF,0.795,0.7829553508150248,0.6919701887246064,0.712794648173444,
mestimate,RF,0.78,0.7501243574863207,0.6813318908522659,0.6984649122807017,
jamesstein,RF,0.775,0.7352320675105485,0.6876427455222983,0.7019768866518759,
loout,RF,0.705,0.3525,0.5,0.4134897360703812,
glmm,RF,0.78,0.7467749641662684,0.6862603678326722,0.7026625219624274,
catboost,RF,0.78,0.7439791379045866,0.6911888448130785,0.7066666666666668,
woe,RF,0.79,0.7667053556624108,0.6933525664142325,0.712171052631579,
onehot,mlp,0.785,0.741500728508985,0.7390912369275153,0.740267584790553,
binary,mlp,0.755,0.7038305428716387,0.6931722562808029,0.697819987049428,
basen,mlp,0.77,0.7243776943401474,0.6939536001923308,0.7047875754075216,
hash,mlp,0.72,0.6560345992701717,0.6387786993629042,0.6448503297818367,
ordinal,mlp,0.745,0.6896929824561404,0.6663661497776175,0.6746515262671047,
gray,mlp,0.76,0.7108330266225003,0.7065753095323957,0.708596406022341,
rankhot,mlp,0.76,0.7103448275862069,0.7016468325519893,0.7055576002944424,
count,mlp,0.74,0.6874624353888688,0.6874624353888688,0.6874624353888688,
minhash,mlp,0.745,0.6982134780642243,0.7107224426012742,0.7032727272727273,
similarity,mlp,0.785,0.741500728508985,0.7390912369275153,0.740267584790553,
gap,mlp,0.76,0.711503786512802,0.711503786512802,0.711503786512802,
sum,mlp,0.785,0.7426470588235294,0.7538766678687342,0.7475859235126647,
helm,mlp,0.79,0.7475658131987017,0.7475658131987017,0.7475658131987017,
polynomial,mlp,0.805,0.7663690476190477,0.7582041110710422,0.7620137299771168,
backdiff,mlp,0.775,0.7303646563814867,0.7369275153263612,0.733404425486537,
target,mlp,0.785,0.7418822932521563,0.7292342829667027,0.7348216212882736,
mestimate,mlp,0.77,0.7228853805673212,0.7087390311335497,0.714781746031746,
jamesstein,mlp,0.785,0.7445175438596491,0.7144488520254838,0.7256865809703039,
loout,mlp,0.755,0.7036984754376059,0.6734583483591778,0.6836158192090396,
glmm,mlp,0.78,0.735423197492163,0.7256881836759226,0.7300944669365723,
catboost,mlp,0.75,0.6965806190025678,0.674840726048804,0.6829020801623542,
woe,mlp,0.765,0.7166666666666667,0.695335977881957,0.7036476559790662,
onehot,knn,0.75,0.6979598097867772,0.6551268181271788,0.6666666666666667,
binary,knn,0.74,0.6848484848484848,0.6283207116239933,0.638436935057711,
basen,knn,0.73,0.6676047992889942,0.6360139439836519,0.6446900908014213,
hash,knn,0.715,0.6412119064493267,0.5958047842288736,0.6007145108752758,
ordinal,knn,0.78,0.7541125541125542,0.6764034138718595,0.6940620219719094,
gray,knn,0.72,0.6560345992701717,0.6387786993629042,0.6448503297818367,
rankhot,knn,0.715,0.6485745614035088,0.6303041230917177,0.6363752352397053,
count,knn,0.72,0.6527921789364539,0.6239932684216853,0.6315304645348072,
minhash,knn,0.73,0.6671444497531454,0.6261569900228393,0.6350858224084336,
similarity,knn,0.745,0.690625,0.6466522418559923,0.6577066344508206,
gap,knn,0.7,0.621260929590428,0.5950234403173458,0.6,
sum,knn,0.765,0.729801559177888,0.6559081620387066,0.6707645966866309,
helm,knn,0.76,0.7132995858260469,0.6671474936891453,0.68,
polynomial,knn,0.76,0.7169623611341402,0.6572905397283327,0.6710526315789473,
backdiff,knn,0.77,0.7286393618653169,0.6791681692511119,0.6933333333333334,
target,knn,0.78,0.741667901051696,0.6961173217934848,0.7104882221344915,
mestimate,knn,0.765,0.7188228438228439,0.680550546940738,0.6927200810695956,
jamesstein,knn,0.765,0.7188228438228439,0.680550546940738,0.6927200810695956,
loout,knn,0.765,0.7178147939017505,0.6854790239211443,0.6965294592413237,
glmm,knn,0.745,0.6896929824561404,0.6663661497776175,0.6746515262671047,
catboost,knn,0.75,0.6968022108172127,0.6797692030292102,0.6865203761755485,
woe,knn,0.75,0.697230039994075,0.6600552951075851,0.6710093433346493,
onehot,svm,0.795,0.7829553508150248,0.6919701887246064,0.712794648173444,
